H,model,split,mae,rmse,mape_pct,smape_pct,bias,dir_acc
1,Naive,val,0.008076153846153874,0.010352855421796233,0.18859241002112143,0.18856589295974016,0.000863846153846156,0.0
1,Naive,test,0.0074796153846153615,0.011050821410472339,0.17631162265315126,0.17641352909963653,-0.000471923076923077,0.011538461538461539
1,SMA,val,0.012158000000000061,0.014731367370865,0.2845032630579201,0.28430484761131875,0.002913692307692341,0.5076923076923077
1,SMA,test,0.009938846153846164,0.015074091017371484,0.23423480107340514,0.2345243305251753,-0.0012965384615384187,0.5230769230769231
1,EMA,val,0.013957120029507868,0.01763512086090584,0.32704224554308237,0.326653434359169,0.005362570861047476,0.49230769230769234
1,EMA,test,0.010487405325911128,0.016174075990452345,0.24701336633599102,0.24739392352319478,-0.0018086720650979844,0.5461538461538461
1,Ridge,val,0.008253487727655965,0.010366922878735453,0.19281691664120607,0.1927649272608115,0.001520997147281002,0.49230769230769234
1,Ridge,test,0.007509809946307594,0.01118785463656569,0.1770385664045989,0.17710766901624583,0.0004643747138854242,0.5346153846153846
1,ElasticNet,val,0.04759706663278944,0.06089155002652694,1.1223476600861662,1.112983602280391,0.03664491731775022,0.4846153846153846
1,ElasticNet,test,0.07053356425928597,0.07714816721269914,1.6690808328806663,1.6525019281945865,0.07053356425928597,0.4807692307692308
1,MLPRegressor,val,0.02306415412183876,0.031613496295885384,0.5393147964881184,0.540359350721252,-0.004337893668043021,0.5076923076923077
1,MLPRegressor,test,0.03459383643870781,0.05054356074305863,0.815602433049193,0.8162994813246887,0.005217770232027133,0.49230769230769234
1,RandomForest,val,0.008987499999999742,0.011409548791388365,0.20989706277043463,0.20979348773961584,0.002263761538461525,0.5
1,RandomForest,test,0.007919234615384643,0.01100794961013309,0.1866728260865606,0.18676783817000317,-0.00039791153846155435,0.5038461538461538
1,ExtraTrees,val,0.008730538461538236,0.011291998512902031,0.2037977558197099,0.2036978591128088,0.0022497692307690514,0.5307692307692308
1,ExtraTrees,test,0.008204457692307529,0.011550947097199562,0.1933513429726759,0.19344848791916053,-0.00039268076923082255,0.49230769230769234
1,HistGB,val,0.008386582025277936,0.010911077129906433,0.19594987256908303,0.19588404570024917,0.0015961442888735493,0.5307692307692308
1,HistGB,test,0.008242262114706555,0.011604856790546106,0.19427811016626909,0.19436673294381487,-0.00012437790145085613,0.46923076923076923
1,SARIMAX,val,0.009032343991749148,0.011662726204951743,0.21104193170144958,0.21095165846887678,0.0009080689294081073,0.49230769230769234
1,SARIMAX,test,0.009043321853384998,0.013445939525314077,0.2131224191443546,0.21321454113562618,-0.00046276133882627,0.4423076923076923
7,Naive,val,0.02104461538461538,0.027030145564365143,0.49291072930312585,0.4920243978251572,0.007610769230769243,0.0
7,Naive,test,0.015537307692307665,0.023915148884208204,0.36589249191958373,0.36673885759054903,-0.002635000000000008,0.0
7,SMA,val,0.022392615384615466,0.02892941287393803,0.5249140080260691,0.5237967050364173,0.009650769230769272,0.5461538461538461
7,SMA,test,0.01572446153846153,0.024905493122849596,0.3701672332570971,0.37120559841787765,-0.0030038461538461152,0.6230769230769231
7,EMA,val,0.024332478246638856,0.03089834916897988,0.570867427682596,0.569490805094404,0.011188225444984963,0.5384615384615384
7,EMA,test,0.015522898694223256,0.02507847165614112,0.36545764974669137,0.3664926962945761,-0.003103746922930848,0.676923076923077
7,Ridge,val,0.02204759851332416,0.027332076021726163,0.5169466309346874,0.5156299656527159,0.012247732266326918,0.46153846153846156
7,Ridge,test,0.017168206501835308,0.024548949470496302,0.4045004178019735,0.4048302510670209,0.003527881811552482,0.5692307692307692
7,ElasticNet,val,0.04801019660240479,0.061343347611023814,1.1321231715778803,1.1225633157702597,0.03739084642955571,0.47692307692307695
7,ElasticNet,test,0.07125166089965368,0.07780523888607374,1.6860179421142758,1.669158220486134,0.07125166089965368,0.5076923076923077
7,MLPRegressor,val,0.04406501775650778,0.053366131738622986,1.0315296974659285,1.0285123797745634,0.012055516705276895,0.5076923076923077
