H,model,split,mae,rmse,mape_pct,smape_pct,bias,dir_acc
1,Naive,val,0.01002538461538463,0.014227516676118556,0.23626460731296062,0.23636880051888737,0.0008976923076923062,0.0
1,Naive,test,0.00608461538461535,0.008001672902010478,0.14319150554655108,0.14320458594421237,-1.153846153845856e-05,0.015384615384615385
1,SMA,val,0.01418338461538461,0.020064433285715364,0.3344558825748964,0.33466541782367165,0.002235384615384646,0.5153846153846153
1,SMA,test,0.008230384615384626,0.010669046601482978,0.1936829612797735,0.19370903331697936,0.00015361538461544473,0.5038461538461538
1,EMA,val,0.016974853688845208,0.023315036901870704,0.4003134505372709,0.4004053169636561,0.003900311021830052,0.5307692307692308
1,EMA,test,0.008327490546262216,0.010929754267834742,0.1959470834946226,0.19598432217517084,0.0003002877991441585,0.5461538461538461
1,Ridge,val,0.010236719461232894,0.01443752811012107,0.2412660425686843,0.24136080519897302,0.0011872946343828585,0.4846153846153846
1,Ridge,test,0.0061180615686972,0.008037345558398653,0.14400608790731512,0.14397622454880277,0.0011451250412178818,0.5461538461538461
1,ElasticNet,val,0.07398880772355179,0.08827864769891501,1.7587164083761948,1.7370565641842066,0.07056789164531649,0.4230769230769231
1,ElasticNet,test,0.06284017414837306,0.06609047039317205,1.4822116932532108,1.4701358389187433,0.06284017414837306,0.47692307692307695
1,MLPRegressor,val,0.03008023743940032,0.04338739380284979,0.7078656396655266,0.7072789776710916,0.006891438930590446,0.5
1,MLPRegressor,test,0.025612113588218653,0.03510494883208901,0.6035547692851375,0.6040835735298781,-0.0050791037590625495,0.47692307692307695
1,RandomForest,val,0.010259900000000145,0.013845123372786993,0.2417541606179153,0.24179270850426754,0.0015984384615385385,0.5615384615384615
1,RandomForest,test,0.006751446153846175,0.008650170801781765,0.15893112721118902,0.15892716824714723,0.0006072538461541587,0.47307692307692306
1,ExtraTrees,val,0.010631038461538523,0.014603775432559005,0.25045354274004933,0.25048925531542066,0.0019409923076923524,0.4846153846153846
1,ExtraTrees,test,0.0068321076923078174,0.008801764858429154,0.1608063107637299,0.16082155282689775,0.00012379230769230532,0.4807692307692308
1,HistGB,val,0.010492180125287742,0.014802383466287556,0.24718516566390553,0.24718140362513766,0.002180582063749796,0.5
1,HistGB,test,0.006775067085908465,0.008776801639421215,0.15949311670342828,0.1594881902669601,0.0009331197579966212,0.47307692307692306
1,SARIMAX,val,0.012252087974426774,0.017025073570315363,0.2886259624982989,0.28873550433650574,0.0007630655548173702,0.45384615384615384
1,SARIMAX,test,0.007059747580027955,0.009564224572180854,0.16612043004296506,0.16611069365127779,-6.746820451450064e-05,0.46923076923076923
7,Naive,val,0.024010769230769214,0.03404839316213138,0.566086740512174,0.5663905584966262,0.005424615384615368,0.0
7,Naive,test,0.012961153846153803,0.017126597623399825,0.30499038754404906,0.305040432722529,0.00034807692307693174,0.0
7,SMA,val,0.027447384615384648,0.03755642270176764,0.6472371268946808,0.647559484513402,0.006923076923076967,0.49230769230769234
7,SMA,test,0.012231615384615355,0.01664636412137912,0.287757540628473,0.2878304656861252,0.0003897692307692905,0.6461538461538462
7,EMA,val,0.029951428526010456,0.039692332779088874,0.706617785554659,0.7065906128947922,0.007859889436152486,0.5307692307692308
7,EMA,test,0.011941082108916572,0.016474540252445997,0.28091037434471355,0.2810015769319466,0.0006774342630747627,0.6730769230769231
7,Ridge,val,0.024644944299684973,0.0337325224336407,0.581373144256316,0.5812608762568781,0.008411161729257498,0.5153846153846153
7,Ridge,test,0.015006781100359674,0.018999863901114404,0.3533619022499186,0.3529248423086027,0.007136934115570402,0.5346153846153846
7,ElasticNet,val,0.07460944545283858,0.08886606800493947,1.7734101194342902,1.751448035888283,0.07130137259810994,0.4461538461538462
7,ElasticNet,test,0.06354490205759733,0.06676089699294442,1.498808031747077,1.4864874518026878,0.06354490205759733,0.49615384615384617
7,MLPRegressor,val,0.04949147778564748,0.06232172971129455,1.1648101849383572,1.1646532303899246,0.005612333095622259,0.43846153846153846
7,MLPRegressor,test,0.036070441642142875,0.04661532534219737,0.8495847786391169,0.8472476308448773,0.010887833074801073,0.5192307692307693
7,RandomForest,val,0.02893469230769229,0.038268406120051834,0.6814697760338326,0.6809037424948364,0.012913723076922984,0.47692307692307695
7,RandomForest,test,0.02076508076923024,0.02544598636546652,0.48909488428440934,0.4888852844378284,0.005943511538461293,0.4807692307692308
7,ExtraTrees,val,0.030050846153846268,0.038857295289697856,0.7068289125784626,0.7058568891783732,0.014370584615384699,0.47692307692307695
7,ExtraTrees,test,0.02166876153846103,0.027314005074883078,0.5106002628099163,0.5107545634310569,0.004304138461538419,0.4846153846153846
7,HistGB,val,0.028137048482398973,0.036822126766762796,0.6621604141054264,0.6618119589577082,0.011041759740132703,0.5076923076923077
7,HistGB,test,0.01813293652560228,0.02380540277044589,0.42704346839863616,0.42703002546011304,0.003669083069015954,0.49615384615384617
7,SARIMAX,val,0.031440072613844815,0.03951968561853882,0.740109428869163,0.7399889086167829,0.004224098564849187,0.49230769230769234
7,SARIMAX,test,0.01602432979799608,0.021167428464315987,0.3769824459732954,0.37707608607394905,-0.000685885556796278,0.45
30,Naive,val,0.06411000000000001,0.07404423573887335,1.5123417993010768,1.510593428918043,0.011977692307692302,0.0
30,Naive,test,0.02065615384615383,0.0274570223608292,0.4860337663555746,0.4862321869005883,0.0031369230769230766,0.0
30,SMA,val,0.06625030769230775,0.07516934577748692,1.562944762857455,1.5611882972221531,0.012360769230769234,0.4307692307692308
30,SMA,test,0.01949138461538461,0.02630698222613443,0.458676889814309,0.458947637305381,0.0032173846153846775,0.5692307692307692
30,EMA,val,0.06788796850247555,0.0760157503933611,1.601731961201893,1.599600790168948,0.014115040227010038,0.45384615384615384
30,EMA,test,0.018650982792439402,0.025379003221352135,0.43895481110563084,0.4393637368943115,0.0025519571181181603,0.5923076923076923
30,Ridge,val,0.05844801887357377,0.06904313292518399,1.3824425038550407,1.3758372734260893,0.025929514621877318,0.6615384615384615
30,Ridge,test,0.029529984878682455,0.033449858597019766,0.6955846493145444,0.6934668774045974,0.020274291475065567,0.4153846153846154
30,ElasticNet,val,0.0767204014108163,0.09087993397764221,1.8233873854611786,1.8003787985212294,0.07379613873026543,0.5769230769230769
